project,organism full name,organism abbreviation,is_annotated genome,is_reference_strain,orthoMCL abbrev
FungiDB,Chrysosporium queenslandicum isolate CBS 280.77,cqueCBS280.77,0,1,cque
FungiDB,Chaetothyriales sp. CBS 132003,cspCBS132003,1,1,cspb
FungiDB,Candida tropicalis MYA-3404,ctroMYA3404,1,1,ctro
FungiDB,Candida tropicalis MYA-3404 2020,ctroMYA3404-2020,1,0,ctmy
FungiDB,Cladophialophora yegresii CBS 114405,cyegCBS114405,1,1,cyeg
FungiDB,Debaryomyces fabryi CBS 789,dfabCBS789,1,1,dfab
FungiDB,Debaryomyces hansenii CBS767,dhanCBS767,1,1,dhan
FungiDB,Diutina rugosa CBS 613,drugCBS613,1,1,drug
FungiDB,Emergomyces africanus CBS 136260,eafrCBS136260,1,1,eafr
FungiDB,Exophiala aquamarina CBS 119918,eaquCBS119918,1,1,eaqu
FungiDB,Emmonsia crescens UAMH 3008,ecreUAMH3008,1,1,ecre
FungiDB,Exophiala dermatitidis NIH/UT8656,ederNIHUT8656,1,1,eder
FungiDB,Epichloe festucae Fl1,efesFl1,0,1,efes
FungiDB,Epichloe glyceriae E277,eglyE277,0,1,egly
FungiDB,Exophiala mesophila strain CBS 40295,emesCBS40295,1,1,emes
FungiDB,Exophiala oligosperma strain CBS 72588,eoliCBS72588,1,1,eoli
FungiDB,Emergomyces orientalis 5z489,eori5z489,0,1,eori
FungiDB,Emergomyces pasteurianus Ep9510,epasEp9510,1,1,epas
FungiDB,Exophiala spinifera CBS 89968,espiCBS89968,1,1,espi
FungiDB,Fusarium circinatum NRRL 25331,fcirNRRL25331,1,1,fcir
FungiDB,Fusarium fujikuroi IMI 58289,ffujIMI58289,1,1,ffuj
FungiDB,Fulvia fulva Race5_Kim,ffulRace5_Kim,1,1,fful
FungiDB,Fusarium graminearum DAOM 233423,fgra233423,0,0,fgrd
FungiDB,Fusarium graminearum PH-1,fgraPH-1,1,1,fgra
FungiDB,Fusarium mangiferae MRC7560,fmanMRC7560,1,1,fman
FungiDB,Fonsecaea multimorphosa CBS 102226,fmulCBS102226,1,1,fmul
FungiDB,Fusarium napiforme NRRL 25196,fnapNRRL25196,1,1,fnap
FungiDB,Fusarium oxysporum f. sp. melonis 26406,foxy26406,1,0,foxm
FungiDB,Fusarium oxysporum f. sp. lycopersici 4287,foxy4287,1,1,foxy
FungiDB,Fusarium odoratissimum NRRL 54006,foxy54006,1,0,foxc
FungiDB,Fusarium oxysporum f. sp. conglutinans Fo5176,foxyf.conglutinansFo5176,1,0,focf
FungiDB,Fusarium oxysporum Fo47,foxyFo47,1,0,foxf
FungiDB,Fusarium oxysporum Strain Fo47 2020,foxyFo472020,1,0,fofo
FungiDB,Fusarium oxysporum NRRL 32931,foxyFOSC3a,1,0,foxa
FungiDB,Fusarium oxysporum f. sp. cubense race 1,foxyrace1,1,0,foxr
FungiDB,Fusarium odoratissimum strain race 4,foxyrace4,1,1,foxt
FungiDB,Fonsecaea pedrosoi CBS 271.37,fpedCBS271-37,1,1,fped
FungiDB,Fusarium proliferatum ET1,fproET1,1,1,fpro
FungiDB,Fusarium proliferatum strain NRRL62905,fproNRRL62905,1,0,fprn
FungiDB,Fusarium solani FSSC 5 MPI-SDFR-AT-0091,fsolFSSC5MPISDFRAT0091,1,1,fsol
FungiDB,Fusarium vanettenii 77-13-4,fvan77134,1,1,fvan
FungiDB,Fusarium verticillioides 7600,fver7600,1,1,fver
FungiDB,Gaeumannomyces tritici R3-111a-1,gtriR3-111a-1,1,1,gtri
FungiDB,Hyaloperonospora arabidopsidis Emoy2,haraEmoy2,1,1,hara
FungiDB,Histoplasma capsulatum G184AR,hcapG184AR,1,0,hcga
FungiDB,Histoplasma capsulatum G186AR,hcapG186AR,1,0,acaq
FungiDB,Histoplasma capsulatum G217B,hcapG217B,1,1,hcag
FungiDB,Histoplasma capsulatum H143,hcapH143,1,0,hcap
FungiDB,Histoplasma capsulatum var. duboisii H88,hcapH88,1,0,hcah
FungiDB,Histoplasma mississippiense (nom. inval.) NAm1,hcapNAm1,1,1,acap
FungiDB,Histoplasma capsulatum WU24,hcapWU24,1,0,hcaw
FungiDB,Hanseniaspora guilliermondii strain UTAD222,hguiUTAD222,1,1,hgui
FungiDB,Hanseniaspora uvarum strain AWRI3580,huvaAWRI3580,1,1,huva
FungiDB,Hemileia vastatrix Race XXXIII,hvasRaceXXXIII,1,1,hvas
FungiDB,Hortaea werneckii EXF-2000,hwerEXF-2000,1,1,hwer
FungiDB,Kwoniella bestiolae CBS 10118,kbesCBS10118,1,1,kbes
FungiDB,Kwoniella dejecticola CBS 10117,kdejCBS10117,1,1,kdej
FungiDB,Kwoniella heveanensis CBS 569,khevCBS569,1,1,khev
FungiDB,Kluyveromyces lactis NRRL Y-1140,klacNRRLY-1140,1,1,klac
FungiDB,Kwoniella mangroviensis CBS 8507,kmanCBS8507,1,1,kman
FungiDB,Kluyveromyces marxianus DMKU3-1042,kmarDMKU31042,1,1,kmar
FungiDB,Lichtheimia corymbifera JMRC:FSU:9682,lcorJMRCFSU9682,1,1,lcor
FungiDB,Lodderomyces elongisporus NRRL YB-4239,leloNRRLYB-4239,1,1,lelo
FungiDB,Plenodomus lingam JN3,lmacJN3,1,1,plin
FungiDB,Lomentospora prolificans JHH-5317,lproJHH5317,1,1,lpro
FungiDB,Lichtheimia ramosa KPH11,lramKPH11,0,1,lram
FungiDB,Lentinus tigrinus ALCF2SS1-7,ltigALCF2SS17,1,1,ltig
FungiDB,Metarhizium acridum CQMa 102,macrCQMa102,1,1,macr
FungiDB,Metarhizium hybridum ARSEF 549,maniARSEF549,1,1,mani
FungiDB,Microsporum canis CBS 113480,mcanCBS113480,1,1,mcan
FungiDB,Mucor circinelloides 1006PhL,mcir1006PhL,1,1,mcic
FungiDB,Mucor lusitanicus CBS 277.49,mcirCBS277-49,1,1,mcir
FungiDB,Monilinia fructicola CPMC6,mfruCPMC6,1,1,mfru
FungiDB,Malassezia globosa CBS 7966,mgloCBS7966,1,1,mglo
FungiDB,Meyerozyma guilliermondii ATCC 6260,mguiATCC6260,1,1,mgui
FungiDB,Melampsora larici-populina 98AG31,mlar98AG31,1,1,mlar
FungiDB,Madurella mycetomatis mm55,mmycmm55,1,1,mmyc
FungiDB,Pyricularia oryzae 70-15,mory70-15,1,1,mory
FungiDB,Pyricularia oryzae BR32,moryBR32,1,0,morb
FungiDB,Malassezia pachydermatis CBS 1879,mpacCBS1879,1,1,mpac
FungiDB,Macrophomina phaseolina MS6,mphaMS6,1,1,mpha
FungiDB,Magnaporthiopsis poae ATCC 64411,mpoaATCC64411,1,1,mpoa
FungiDB,Malassezia restricta CBS 7877,mresCBS7877,1,0,mrec
FungiDB,Malassezia restricta KCTC 27527,mresKCTC27527,1,1,mres
FungiDB,Malassezia sympodialis ATCC 42132,msymATCC42132,1,1,msym
FungiDB,Naganishia albida JCM2334,nalbJCM2334,0,0,nalj
FungiDB,Naganishia albida NRRL Y-1402,nalbNRRLY1402,0,1,nalb
FungiDB,Neurospora crassa OR74A,ncraOR74A,1,1,ncra
FungiDB,Neurospora discreta FGSC 8579,ndisFGSC8579,1,1,ndis
FungiDB,Nannizzia gypsea CBS 118893,ngypCBS118893,1,1,ngyp
FungiDB,Neurospora tetrasperma FGSC 2508,ntetFGSC2508,1,1,ntet
FungiDB,Ophiostoma piceae UAMH 11346,opicUAMH11346,1,1,opic
FungiDB,Podospora anserina S mat+,pansSmat,1,1,pans
FungiDB,Pythium aphanidermatum DAOM BR444,paphDAOMBR444,1,1,paph
FungiDB,Podosphaera aphanis DRCT72020,paphDRCT72020,1,1,papd
FungiDB,Pythium arrhenomanes ATCC 12531,parrATCC12531,1,1,parr
FungiDB,Phialophora attinorum CBS 131958,pattCBS131958,1,1,patt
FungiDB,Phycomyces blakesleeanus NRRL 1555(-),pblaNRRL1555,1,1,pbla
FungiDB,Paracoccidioides brasiliensis Pb03,pbraPb03,1,1,pbra
FungiDB,Paracoccidioides brasiliensis Pb18,pbraPb18,1,0,pbrb
FungiDB,Phytophthora cactorum 10300,pcac10300,1,1,pcac
FungiDB,Pneumocystis canis CanA,pcanCanA,1,1,pcan
FungiDB,Phytophthora capsici LT1534,pcapLT1534,1,1,pclt
FungiDB,Pneumocystis carinii B80,pcarB80,1,1,pcar
FungiDB,Phanerochaete chrysosporium RP-78,pchrRP-78,1,1,pchr
FungiDB,Phytophthora cinnamomi GKB4,pcinGKB4,1,1,pcgk
FungiDB,Podospora comata strain T mat+,pcomTmat,1,1,pcom
FungiDB,Pseudogymnoascus destructans 20631-21,pdes20631-21,1,1,pdes
FungiDB,Penicillium digitatum Pd1,pdigPd1,1,1,pdig
FungiDB,Peronospora effusa R13,peffR13,1,1,peff
FungiDB,Penicillium expansum d1,pexpd1,1,1,pexp
FungiDB,Pseudocercospora fijiensis CIRAD86,pfijCIRAD86,1,1,pfij
FungiDB,Puccinia graminis f. sp. tritici CRL 75-36-700-3,pgraCRL75-36-700-3,1,1,pgra
FungiDB,Phytophthora infestans T30-4,pinfT30-4,1,1,pinf
FungiDB,Pythium insidiosum Pi-s,pinsPi-s,1,1,pins
FungiDB,Globisporangium irregulare DAOM BR486,pirrDAOMBR486,1,1,pirr
FungiDB,Globisporangium iwayamae DAOM BR242034,piwaDAOMBR242034,1,1,piwa
FungiDB,Pneumocystis jirovecii RU7,pjirRU7,1,0,pjru
FungiDB,Pneumocystis jirovecii SE8,pjirSE8,1,1,pjir
FungiDB,Pichia kudriavzevii strain CBS5147,pkudCBS5147,0,0,pkuc
FungiDB,Pichia kudriavzevii strain CBS573,pkudCBS573,1,1,pkud
FungiDB,Paracoccidioides lutzii Pb01,plutPb01,1,1,plut
FungiDB,Pneumocystis sp. macacae isolate P2C,pmacP2C,1,1,pmpc
FungiDB,Pneumocystis murina B123,pmurB123,1,1,pmur
FungiDB,Parastagonospora nodorum SN15,pnodSN15,1,1,pnod
FungiDB,Pyronema omphalodes CBS 100304,pompCBS100304,1,1,pomp
FungiDB,Pneumocystis oryctolagi CS1,poryCS1,1,1,pory
FungiDB,Pleurotus ostreatus PC15,postPC15,1,1,posp
FungiDB,Pleurotus ostreatus PC9,postPC9,1,0,post
FungiDB,Phakopsora pachyrhizi MT2006,ppacMT2006,1,1,ppac
FungiDB,Phytophthora palmivora var. palmivora strain sbr112.9,ppalsbr112.9,1,1,ppal
FungiDB,Phytophthora nicotianae INRA-310,pparINRA-310,1,1,ppar
FungiDB,Pyricularia pennisetigena Br36,ppenBr36,1,1,ppen
FungiDB,Phytophthora plurivora AV1007,ppluAV1007,0,1,pplu
FungiDB,Phytophthora ramorum 14567,pram14567,1,0,phra
FungiDB,Phytophthora ramorum strain Pr102,pramPr-102,1,1,pram
